BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
2000,BPR,2412163033.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974546,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,0 to 10,0.21,0.44,0.34
4000,BPR,2432360566.0,901967,RIMO STEEL REFORMS PRIVATE LIM,East,CALS,RV,0.05,0,Z001,Cash,64966360,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.89,0.1,0.01
4000,BPR,2432360588.0,901967,RIMO STEEL REFORMS PRIVATE LIM,East,CALS,RV,0.06,0,Z001,Cash,64968957,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.82,0.16,0.02
9600,BPR,2146127930.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.13,3,ZZ33,Credit,64984043,26.12.2018,Dec,26-12-18,27-12-18,1221001,2019,1.31,9,0 to 10,0.23,0.65,0.12
9600,BPR,2146127805.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.12,4,ZZ33,Credit,64980863,25.12.2018,Dec,25-12-18,26-12-18,1221001,2019,1.04,7,0 to 10,0.22,0.65,0.13
9600,BPR,2146127507.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.14,4,ZZ33,Credit,64974994,23.12.2018,Dec,23-12-18,24-12-18,1221001,2019,1.24,8,0 to 10,0.25,0.64,0.11
9600,BPR,2146127506.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.15,4,ZZ33,Credit,64974993,23.12.2018,Dec,23-12-18,24-12-18,1221001,2019,1.24,8,0 to 10,0.26,0.63,0.11
9600,BPR,2146127918.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.15,4,ZZ33,Credit,64983855,25.12.2018,Dec,25-12-18,26-12-18,1221001,2019,1.04,7,0 to 10,0.25,0.63,0.13
1000,BPR,2431602452.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.14,5,Z001,Cash,64975811,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,1.24,8,0 to 10,0.32,0.59,0.09
9600,BPR,2146127430.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.15,5,ZZ33,Credit,64973151,22.12.2018,Dec,22-12-18,23-12-18,1221001,2019,0.94,6,0 to 10,0.26,0.65,0.09
9600,BPR,2146127343.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.15,5,ZZ33,Credit,64970894,22.12.2018,Dec,22-12-18,23-12-18,1221001,2019,0.94,6,0 to 10,0.26,0.65,0.09
9600,BPR,2146127332.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.14,6,ZZ33,Credit,64970686,21.12.2018,Dec,21-12-18,22-12-18,1221001,2019,0.98,6,0 to 10,0.26,0.66,0.09
9600,BPR,2146127194.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.17,7,ZZ33,Credit,64967211,20.12.2018,Dec,20-12-18,21-12-18,1221001,2019,0.81,5,0 to 10,0.25,0.69,0.05
2000,BPR,2424231142.0,879490,M/S. MANGLA SONS,North,FBAD,RV,0.28,0,ZZ20,Credit,64964499,20.12.2018,Dec,20-12-18,01-01-19,1221001,2019,0.0,0,No Delay,0.53,0.39,0.08
4000,BPR,1412034351.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.14,0,Z001,Cash,64968518,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.82,0.16,0.01
4000,BPR,1412034353.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.18,0,Z001,Cash,64968566,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.81,0.17,0.01
